Program,Optimization,Problem_Size,Runtime_sec
mandelbrot,DaCe,512,28.79752138
mandelbrot,DaCe,512,28.67605983
mandelbrot,DaCe,512,29.36140272
mandelbrot,DaCe,512,29.51213719
mandelbrot,DaCe,512,29.75360668
mandelbrot,DaCe,512,30.05389310
mandelbrot,DaCe,512,31.03854921
mandelbrot,DaCe,512,29.36380250
mandelbrot,DaCe,512,30.07778595
mandelbrot,DaCe,512,29.27653823
mandelbrot,DaCe,512,29.65185351
mandelbrot,DaCe,512,30.83633994
mandelbrot,DaCe,512,30.18751403
mandelbrot,DaCe,512,30.82502936
mandelbrot,DaCe,512,28.89120573
mandelbrot,DaCe,512,29.55009836
mandelbrot,DaCe,512,30.66700573
mandelbrot,DaCe,512,30.17121136
mandelbrot,DaCe,512,29.93967491
mandelbrot,DaCe,512,30.38300789
[time_secs],29.84664079
[std],0.67335464
