Program,Optimization,Problem_Size,Runtime_sec
mandelbrot,DaCe,256,7.04195467
mandelbrot,DaCe,256,7.20432637
mandelbrot,DaCe,256,7.25614705
mandelbrot,DaCe,256,7.17314288
mandelbrot,DaCe,256,7.24333024
mandelbrot,DaCe,256,7.09459413
mandelbrot,DaCe,256,7.38731170
mandelbrot,DaCe,256,7.24620643
mandelbrot,DaCe,256,7.21101251
mandelbrot,DaCe,256,7.25818329
mandelbrot,DaCe,256,7.25792049
mandelbrot,DaCe,256,7.15765822
mandelbrot,DaCe,256,7.33231836
mandelbrot,DaCe,256,7.48035773
mandelbrot,DaCe,256,7.31122192
mandelbrot,DaCe,256,7.39493911
mandelbrot,DaCe,256,7.51049350
mandelbrot,DaCe,256,7.41897587
mandelbrot,DaCe,256,7.40138615
mandelbrot,DaCe,256,7.24254186
[time_secs],7.25703377
[std],0.12022150
